gender,age,resident,Marriage,Education,Employment,Income,Heathstatus,Chronic disease,whether had COVID-19,cognitiverisk,personalFear,misInformation,trust central Government,trust local Government,social fear,panic Buying,social support,trust health experts,trust health Authorities,trust medical Resource,trust health worker,Pandemic fatigue,cognitive dissonance
1,26,1,1,4,1,5,5,3,1,1,4,1,4,4,4,0,1,1,1,3,4,9,0
1,21,1,1,4,4,2,3,1,2,4,3,1,5,5,2.5,0,4,3,4,3,5,4,2
0,27,1,1,4,1,3,4,1,2,3,2,2,4,3,3.25,1,4,4,4,4,4,8,6
0,27,0,2,4,1,1,4,1,2,3,4,2,5,5,1.5,0,1,2,3,3.25,3,1,1
1,23,1,1,5,4,3,4,2,2,3,3,2,4,4,1.5,0,3,3,2,3,4,8,2
0,45,1,2,5,1,3,4,1,2,3,5,2,5,5,2,0,4,4,4,4,4,6,1
0,29,1,2,5,1,3,5,1,2,3,4,2,3,3,4.25,1,5,3,3,3,3,5,8
1,23,1,1,5,4,2,3,1,2,4,2,1,1,1,3.75,0,3,1,1,2,1,10,0
0,43,1,2,5,1,2,3,1,2,4,5,1,5,5,2.25,0,1,1,5,1,5,1,0
0,24,1,2,4,1,2,4,1,2,3,5,2,3,2,2.75,1,3,3,4,2.5,4,2,2
0,23,1,1,5,4,4,5,1,2,4,3,2,4,2,2.75,1,5,3,3,4.5,3,10,2
1,40,1,2,5,1,5,4,1,2,2,4,2,3,4,3,0,4,3,3,3,3,10,4
0,39,0,2,2,2,1,3,1,2,3,5,2,4,3,3.25,1,5,3,3,3.25,4,1,10
1,18,0,1,3,4,1,5,1,2,3,4,2,4,3,2.75,0,5,4,3,3,4,5,5
0,39,1,2,5,1,3,4,1,2,3,3,2,3,3,3.5,0,4,2,1,3,2,0,8
0,45,1,3,5,1,4,4,2,2,4,4,2,1,4,2,1,5,2,2,3.75,5,10,0
1,23,1,2,4,1,2,5,1,2,3,4,3,4,4,2,1,4,4,4,4,4,0,0
0,42,1,2,3,1,2,4,1,2,3,4,2,3,4,2.75,1,4,2,3,2.75,4,2,9
0,23,1,1,4,1,5,4,2,2,4,5,1,2,5,1.75,1,3,2,2,2.5,5,10,0
0,41,0,2,4,1,2,3,1,2,3,3,2,3,3,3.75,0,1,3,3,3.25,3,4,3
1,24,1,1,5,4,2,3,1,2,3,4,2,4,5,2.25,1,4,4,3,3.25,4,4,6
1,24,1,1,5,4,3,5,1,2,3,3,2,4,2,2,1,5,3,3,3,4,8,0
1,58,1,2,5,1,4,4,2,2,3,3,2,3,3,2.75,1,4,3,3,3.25,5,10,1
1,32,1,2,5,1,5,4,1,2,1,1,3,3,4,2.75,0,4,2,2,2.5,4,8,0
1,29,1,2,4,1,3,3,1,2,3,3,2,3,3,3,1,4,3,3,3,3,8,2
0,43,1,2,4,1,2,4,1,2,3,5,1,3,3,1.5,0,4,1,1,2.25,4,10,2
1,37,1,2,5,1,4,4,1,2,3,4,1,2,2,2.75,0,3,2,1,1.75,4,8,8
0,32,1,1,5,1,3,3,1,2,3,4,3,3,3,2,0,4,3,3,2.75,3,8,1
0,24,1,1,5,1,4,3,1,2,3,2,3,5,5,3,0,4,3,5,2.75,4,0,0
0,29,1,2,4,1,4,3,1,2,3,4,2,3,4,3,1,4,3,4,3.5,4,4,2
0,33,1,2,4,1,5,3,1,2,3,2,2,3,3,3.5,0,5,3,3,3.5,3,2,2
0,40,1,2,4,1,3,3,2,2,4,4,1,1,1,2.75,1,5,1,1,1,3,10,4
1,26,1,1,4,1,3,4,1,2,3,4,2,5,5,2.25,0,4,5,4,4,5,8,8
0,20,1,1,4,4,2,2,1,2,4,3,2,3,3,3.5,1,3,4,2,2.5,2,8,3
